%time,field.x,field.y,field.theta
508740000000,59.5118323752,7.21937637083,2.68005945052
508840000000,59.4481014409,7.25131971866,2.65868151693
508940000000,59.3537413098,7.30162199781,2.63028978971
509041000000,59.2915857033,7.33653257529,2.61521771024
509141000000,59.199250587,7.39046536798,2.59724746257
509240000000,59.1381408509,7.42717635042,2.59182374312
509340000000,59.0470634186,7.48320567376,2.59641262693
509440000000,58.9862052667,7.52033195475,2.6063651045
509540000000,58.8941308785,7.57470805086,2.62512258949
509640000000,58.8321509522,7.60992928182,2.63980383383
509740000000,58.7381918538,7.6609781289,2.66321684102
509840000000,58.6748954,7.69377443926,2.67881980111
509940000000,58.5790257408,7.741138383,2.70123557592
510040000000,58.5145549999,7.77156175726,2.71443482288
510140000000,58.4171543072,7.81569338467,2.73174501899
510240000000,58.3518418433,7.84426548011,2.73993904163
510340000000,58.2535299095,7.88633012625,2.74669425165
510440000000,58.1876659329,7.91360499075,2.74231502004
510540000000,58.0891017523,7.95507458732,2.72955128768
510640000000,58.0237277086,7.98350557917,2.71832405581
510740000000,57.926318744,8.02761892708,2.69945126125
510841000000,57.8618656757,8.05808001512,2.6858432788
510940000000,57.7659850595,8.10542299955,2.66544024923
511040000000,57.7025965473,8.13804168127,2.6529430067
511140000000,57.6082523213,8.18837768366,2.63607718808
511240000000,57.5457968885,8.22274937909,2.62741038837
511340000000,57.4525947588,8.27517109756,2.61840407781
511440000000,57.3909538896,8.31098110255,2.62088568427
511540000000,57.2983111663,8.36438486664,2.6311783216
511640000000,57.2361924105,8.39936109226,2.64111562521
511741000000,57.142314375,8.45056082322,2.65831798106
511839000000,57.07922357,8.48375134986,2.6711342038
511940000000,56.9837890635,8.53198709194,2.69067517403
512040000000,56.9196590212,8.56312232303,2.70287923379
512140000000,56.8227903837,8.60841004473,2.71963832635
512240000000,56.7578223343,8.63775681912,2.72857359354
512340000000,56.6599454836,8.68082380581,2.73845772714
512440000000,56.5942746194,8.7085597113,2.73703448163
512540000000,56.4958527028,8.75036639192,2.72809184361
512641000000,56.4304945349,8.77883396588,2.71884009621
512740000000,56.3330116276,8.82278436938,2.70242294952
512840000000,56.2684520729,8.85301921074,2.68995705689
512941000000,56.1723497224,8.89991081561,2.67071522228
513040000000,56.1087845753,8.93218395102,2.65848782564
513140000000,56.01416372,8.98199796226,2.64145885921
513240000000,55.9515321554,9.01604763628,2.63211222695
513340000000,55.8581248606,9.06810270087,2.62113394077
513440000000,55.7964076646,9.10378033821,2.62095384753
513540000000,55.7038455377,9.1573239578,2.62802813237
513641000000,55.6418590499,9.19253414923,2.63663741523
513741000000,55.5482490037,9.2442226184,2.65231442106
513840000000,55.4853691478,9.27781115123,2.66450048953
513940000000,55.3902674784,9.32669997186,2.68370732312
514040000000,55.3263527325,9.35827478644,2.69628014859
514140000000,55.2297641444,9.40415644774,2.71419344641
514240000000,55.1649407089,9.43382120909,2.72456259034
514340000000,55.0671798019,9.47715017619,2.73768525498
514440000000,55.0017354365,9.50541896177,2.74274162935
514540000000,54.9030857926,9.54668086931,2.74139759821
514640000000,54.8373228792,9.57420056674,2.7345100816
514740000000,54.7391119557,9.6164997084,2.72055612414
514840000000,54.641577575,9.66033534412,2.70291664933
514940000000,54.5770155598,9.6905648633,2.68980285498
515040000000,54.4968795976,9.72953805722,2.67341060799
515141000000,54.4801328527,9.73788899962,2.6699682358
515240000000,54.480132881,9.73788898509,2.66996823934
515341000000,54.4801329001,9.73788897529,2.66996823945
515440000000,54.4801329289,9.73788896057,2.66996823948
515540000000,54.4801329481,9.73788895076,2.6699682395
515641000000,54.417032757,9.76908751482,2.71365740264
515741000000,54.3518094719,9.79785181302,2.757911077
515840000000,54.2517488812,9.83551923734,2.82429158842
515940000000,54.1837485261,9.85690646332,2.86854526264
516039000000,54.080140869,9.88329604471,2.93492577389
516140000000,54.0101989959,9.89706664279,2.97812641443
516240000000,53.904345767,9.91211555242,3.04086176248
516340000000,53.8333485891,9.91851895238,3.08040073703
516440000000,53.7265206668,9.92296895776,3.13713771248
516541000000,53.6552352457,9.92264699946,-3.1107998535
516640000000,53.5306607256,9.91623237096,-3.05264012492
516740000000,53.4596975228,9.90944562332,-3.02285596455
516840000000,53.37132069,9.89805866046,-2.98767341247
516940000000,53.3009287153,9.88679419901,-2.9623622796
517040000000,53.1959010658,9.86672043691,-2.92780607523
